year,state,party,candidate,votes
1992,Alabama,Democratic,Bill Clinton,690080
1992,Alabama,Republican,George Bush,804283
1992,Alaska,Democratic,Bill Clinton,78294
1992,Alaska,Republican,George Bush,102000
1992,Arizona,Democratic,Bill Clinton,543050
1992,Arizona,Republican,George Bush,572086
1992,Arkansas,Democratic,Bill Clinton,505823
1992,Arkansas,Republican,George Bush,337324
1992,California,Democratic,Bill Clinton,5121325
1992,California,Republican,George Bush,3630574
1992,Colorado,Democratic,Bill Clinton,629681
1992,Colorado,Republican,George Bush,562850
1992,Connecticut,Democratic,Bill Clinton,682318
1992,Connecticut,Republican,George Bush,578313
1992,Delaware,Democratic,Bill Clinton,126054
1992,Delaware,Republican,George Bush,102313
1992,District of Columbia,Democratic,Bill Clinton,192619
1992,District of Columbia,Republican,George Bush,20698
1992,Florida,Democratic,Bill Clinton,2072698
1992,Florida,Republican,George Bush,2173310
1992,Georgia,Democratic,Bill Clinton,1008966
1992,Georgia,Republican,George Bush,995252
1992,Hawaii,Democratic,Bill Clinton,179310
1992,Hawaii,Republican,George Bush,136822
1992,Idaho,Democratic,Bill Clinton,137013
1992,Idaho,Republican,George Bush,202645
1992,Illinois,Democratic,Bill Clinton,2453350
1992,Illinois,Republican,George Bush,1734096
1992,Indiana,Democratic,Bill Clinton,848420
1992,Indiana,Republican,George Bush,989375
1992,Iowa,Democratic,Bill Clinton,586353
1992,Iowa,Republican,George Bush,504891
1992,Kansas,Democratic,Bill Clinton,390434
1992,Kansas,Republican,George Bush,449951
1992,Kentucky,Democratic,Bill Clinton,665104
1992,Kentucky,Republican,George Bush,617178
1992,Louisiana,Democratic,Bill Clinton,815971
1992,Louisiana,Republican,George Bush,733386
1992,Maine,Democratic,Bill Clinton,263420
1992,Maine,Republican,George Bush,206504
1992,Maryland,Democratic,Bill Clinton,988571
1992,Maryland,Republican,George Bush,707094
1992,Massachusetts,Democratic,Bill Clinton,1318662
1992,Massachusetts,Republican,George Bush,805049
1992,Michigan,Democratic,Bill Clinton,1871182
1992,Michigan,Republican,George Bush,1554940
1992,Minnesota,Democratic,Bill Clinton,1020997
1992,Minnesota,Republican,George Bush,747841
1992,Mississippi,Democratic,Bill Clinton,400258
1992,Mississippi,Republican,George Bush,487793
1992,Missouri,Democratic,Bill Clinton,1053873
1992,Missouri,Republican,George Bush,811159
1992,Montana,Democratic,Bill Clinton,154507
1992,Montana,Republican,George Bush,144207
1992,Nebraska,Democratic,Bill Clinton,217344
1992,Nebraska,Republican,George Bush,344346
1992,Nevada,Democratic,Bill Clinton,189148
1992,Nevada,Republican,George Bush,175828
1992,New Hampshire,Democratic,Bill Clinton,209040
1992,New Hampshire,Republican,George Bush,202484
1992,New Jersey,Democratic,Bill Clinton,1436206
1992,New Jersey,Republican,George Bush,1356865
1992,New Mexico,Democratic,Bill Clinton,261617
1992,New Mexico,Republican,George Bush,212824
1992,New York,Democratic,Bill Clinton,3444450
1992,New York,Republican,George Bush,2346649
1992,North Carolina,Democratic,Bill Clinton,1114042
1992,North Carolina,Republican,George Bush,1134661
1992,North Dakota,Democratic,Bill Clinton,99168
1992,North Dakota,Republican,George Bush,136244
1992,Ohio,Democratic,Bill Clinton,1984942
1992,Ohio,Republican,George Bush,1894310
1992,Oklahoma,Democratic,Bill Clinton,473066
1992,Oklahoma,Republican,George Bush,592929
1992,Oregon,Democratic,Bill Clinton,621314
