question_id,poll_id,cycle,state,pollster_id,pollster,sponsor_ids,sponsors,display_name,pollster_rating_id,pollster_rating_name,fte_grade,sample_size,population,population_full,methodology,office_type,seat_number,seat_name,start_date,end_date,election_date,sponsor_candidate,internal,partisan,tracking,nationwide_batch,ranked_choice_reallocated,created_at,notes,url,stage,answer,candidate_name,candidate_party,pct
120532,64997,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/24/20,3/24/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Lieberman,Matthew Lieberman,DEM,18.4
120532,64997,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/24/20,3/24/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Collins,Doug Collins,REP,34.1
120532,64997,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/24/20,3/24/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Loeffler,Kelly Loeffler,REP,13.6
120532,64997,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/24/20,3/24/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Tarver,Ed Tarver,DEM,5.4
120532,64997,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/24/20,3/24/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Warnock,Raphael Warnock,DEM,13.3
120531,64996,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/21/20,3/21/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Lieberman,Matthew Lieberman,DEM,18.9
120531,64996,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/21/20,3/21/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Collins,Doug Collins,REP,31.8
120531,64996,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/21/20,3/21/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Loeffler,Kelly Loeffler,REP,14.6
120531,64996,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/21/20,3/21/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Tarver,Ed Tarver,DEM,4.7
120531,64996,2020,Georgia,1549,Battleground Connect,"","",Battleground Connect,,,,1025,lv,lv,Automated Phone,U.S. Senate,2,Class III,3/21/20,3/21/20,11/3/20,Doug Collins,true,REP,,false,false,3/26/20 18:08,,https://twitter.com/Crimsontider/status/1242936586565713922,general,Warnock,Raphael Warnock,DEM,11.9
120493,64982,2020,Michigan,326,Marketing Resource Group (MRG),"","",Marketing Resource Group (MRG),193,Marketing Resource Group (MRG),B/C,600,lv,lv,Live Phone,U.S. Senate,2,Class II,3/16/20,3/20/20,11/3/20,"",false,,,false,false,3/25/20 10:20,,https://www.mrgmi.com/2020/03/25/ballot-test-race-for-the-white-house-within-the-margin-of-error-with-biden-on-top/,general,Peters,Gary C. Peters,DEM,42.0
120493,64982,2020,Michigan,326,Marketing Resource Group (MRG),"","",Marketing Resource Group (MRG),193,Marketing Resource Group (MRG),B/C,600,lv,lv,Live Phone,U.S. Senate,2,Class II,3/16/20,3/20/20,11/3/20,"",false,,,false,false,3/25/20 10:20,,https://www.mrgmi.com/2020/03/25/ballot-test-race-for-the-white-house-within-the-margin-of-error-with-biden-on-top/,general,James,John James,REP,35.0
120545,65002,2020,Michigan,1558,Hodas & Associates,1251,Restoration PAC,Hodas & Associates,,,,600,rv,rv,Live Phone,U.S. Senate,2,Class II,3/12/20,3/16/20,,"",false,REP,,false,false,3/27/20 06:21,,https://www.restorationofamerica.com/reelection_index_release,general,Peters,Gary C. Peters,DEM,47.8
120545,65002,2020,Michigan,1558,Hodas & Associates,1251,Restoration PAC,Hodas & Associates,,,,600,rv,rv,Live Phone,U.S. Senate,2,Class II,3/12/20,3/16/20,,"",false,REP,,false,false,3/27/20 06:21,,https://www.restorationofamerica.com/reelection_index_release,general,James,John James,REP,39.2
