year,state,seat_number,runoff,special,party,candidate,writein,candidatevotes,totalvotes
2000,Alabama,1,FALSE,FALSE,REP,Sonny Callahan,FALSE,151188,165669
2000,Alabama,1,FALSE,FALSE,LIB,Dick Coffee,FALSE,14031,165669
2000,Alabama,1,FALSE,FALSE,,,TRUE,450,165669
2000,Alabama,2,FALSE,FALSE,REP,Terry Everett,FALSE,151830,222636
2000,Alabama,2,FALSE,FALSE,,,TRUE,1737,222636
2000,Alabama,2,FALSE,FALSE,LIB,Wallace B. McGahan,FALSE,4111,222636
2000,Alabama,2,FALSE,FALSE,DEM,Charles Woods,FALSE,64958,222636
2000,Alabama,3,FALSE,FALSE,REP,Bob Riley,FALSE,147317,169519
2000,Alabama,3,FALSE,FALSE,LIB,John Sophocleus,FALSE,21119,169519
2000,Alabama,3,FALSE,FALSE,,,TRUE,1083,169519
2000,Alabama,4,FALSE,FALSE,DEM,Marsha Folsom,FALSE,86400,231106
2000,Alabama,4,FALSE,FALSE,REP,Robert B. Aderholt,FALSE,140009,231106
2000,Alabama,4,FALSE,FALSE,LIB,Craig Goodrich,FALSE,3519,231106
2000,Alabama,4,FALSE,FALSE,,,TRUE,1178,231106
2000,Alabama,5,FALSE,FALSE,DEM,"Robert E. (Bud) Cramer, Jr.",FALSE,186059,209514
2000,Alabama,5,FALSE,FALSE,LIB,Alan Barksdale,FALSE,22110,209514
2000,Alabama,5,FALSE,FALSE,,,TRUE,1345,209514
2000,Alabama,6,FALSE,FALSE,,,TRUE,977,241917
2000,Alabama,6,FALSE,FALSE,REP,Spencer Bachus,FALSE,212751,241917
2000,Alabama,6,FALSE,FALSE,LIB,Terry Reagin,FALSE,28189,241917
2000,Alabama,7,FALSE,FALSE,REP,Ed Martin,FALSE,46134,198633
2000,Alabama,7,FALSE,FALSE,,,TRUE,427,198633
2000,Alabama,7,FALSE,FALSE,DEM,Earl F. Hilliard,FALSE,148243,198633
2000,Alabama,7,FALSE,FALSE,LIB,Ken Hager,FALSE,3829,198633
2000,Alaska,1,FALSE,FALSE,GRN,Anna C. Young,FALSE,22440,274393
2000,Alaska,1,FALSE,FALSE,,,TRUE,832,274393
2000,Alaska,1,FALSE,FALSE,LIB,"Leonard J. \\""Len\""\"" Karpinski""",FALSE,4802,274393
2000,Alaska,1,FALSE,FALSE,REP,Don Young,FALSE,190862,274393
2000,Alaska,1,FALSE,FALSE,independence,Jim Dore,FALSE,10085,274393
2000,Alaska,1,FALSE,FALSE,DEM,Clifford Mark Greene,FALSE,45372,274393
2000,Arizona,1,FALSE,FALSE,DEM,David Mendoza,FALSE,97455,229971
2000,Arizona,1,FALSE,FALSE,LIB,Jon Burroughs,FALSE,9227,229971
2000,Arizona,1,FALSE,FALSE,REP,Jeff Flake,FALSE,123289,229971
2000,Arizona,2,FALSE,FALSE,REP,Bill Barenholtz,FALSE,32990,122605
2000,Arizona,2,FALSE,FALSE,LIB,Geoffrey Weber,FALSE,3169,122605
2000,Arizona,2,FALSE,FALSE,natural law,Barbara Shelor,FALSE,2412,122605
2000,Arizona,2,FALSE,FALSE,DEM,Ed Pastor,FALSE,84034,122605
2000,Arizona,3,FALSE,FALSE,DEM,Gene Scharer,FALSE,94676,301970
2000,Arizona,3,FALSE,FALSE,REP,Bob Stump,FALSE,198367,301970
2000,Arizona,3,FALSE,FALSE,LIB,Edward R. Carlson,FALSE,8927,301970
2000,Arizona,4,FALSE,FALSE,LIB,Ernest Hancock,FALSE,7298,219497
2000,Arizona,4,FALSE,FALSE,DEM,Ben Jankowski,FALSE,71803,219497
2000,Arizona,4,FALSE,FALSE,REP,John B. Shadegg,FALSE,140396,219497
2000,Arizona,5,FALSE,FALSE,REP,Jim Kolbe,FALSE,172986,287609
2000,Arizona,5,FALSE,FALSE,GRN,Michael Jay Green,FALSE,9010,287609
2000,Arizona,5,FALSE,FALSE,LIB,Aage Nost,FALSE,4049,287609
2000,Arizona,5,FALSE,FALSE,DEM,George Cunningham,FALSE,101564,287609
2000,Arizona,6,FALSE,FALSE,LIB,Richard Duncan,FALSE,9000,304004
2000,Arizona,6,FALSE,FALSE,REP,J. D. Hayworth,FALSE,186687,304004
2000,Arizona,6,FALSE,FALSE,DEM,Larry Nelson,FALSE,108317,304004
2000,Arkansas,1,FALSE,FALSE,,,TRUE,253,199956
2000,Arkansas,1,FALSE,FALSE,REP,Susan Myshka,FALSE,79437,199956
2000,Arkansas,1,FALSE,FALSE,DEM,Marion Berry,FALSE,120266,199956
2000,Arkansas,2,FALSE,FALSE,DEM,Vic Snyder,FALSE,126957,220649
2000,Arkansas,2,FALSE,FALSE,REP,Bob Thomas,FALSE,93692,220649
2000,Arkansas,3,FALSE,FALSE,REP,Asa Hutchinson,FALSE,1,1
2000,Arkansas,4,FALSE,FALSE,DEM,Mike Ross,FALSE,108143,212160
2000,Arkansas,4,FALSE,FALSE,REP,Jay Dickey,FALSE,104017,212160
2000,California,1,FALSE,FALSE,LIB,Emil P. Rossi,FALSE,6376,239335
2000,California,1,FALSE,FALSE,DEM,Mike Thompson,FALSE,155638,239335
2000,California,1,FALSE,FALSE,REP,"Russel J. \\""Jim\""\"" Chase""",FALSE,66987,239335
2000,California,1,FALSE,FALSE,reform,Pamela Elizondo,FALSE,3161,239335
2000,California,1,FALSE,FALSE,natural law,Cheryl Kreier,FALSE,7173,239335
2000,California,2,FALSE,FALSE,REP,Wally Herger,FALSE,168172,255856
2000,California,2,FALSE,FALSE,LIB,Charles R. Martin,FALSE,6699,255856
2000,California,2,FALSE,FALSE,DEM,Stan Morgan,FALSE,72075,255856
2000,California,2,FALSE,FALSE,natural law,John McDermott,FALSE,8910,255856
2000,California,3,FALSE,FALSE,LIB,Douglas Arthur Tuma,FALSE,5227,230182
2000,California,3,FALSE,FALSE,DEM,Bob Kent,FALSE,93067,230182
2000,California,3,FALSE,FALSE,REP,Doug Ose,FALSE,129254,230182
2000,California,3,FALSE,FALSE,natural law,Channing E. Jones,FALSE,2634,230182
2000,California,4,FALSE,FALSE,DEM,Mark A. Norberg,FALSE,97974,311423
2000,California,4,FALSE,FALSE,natural law,Robert E. Ray,FALSE,6452,311423
2000,California,4,FALSE,FALSE,REP,John T. Doolittle,FALSE,197503,311423
2000,California,4,FALSE,FALSE,LIB,William Fritz Frey,FALSE,9494,311423
2000,California,5,FALSE,FALSE,DEM,Robert T. Matsui,FALSE,147025,214059
2000,California,5,FALSE,FALSE,GRN,Ken Adams,FALSE,6195,214059
2000,California,5,FALSE,FALSE,natural law,Charles Kersey,FALSE,1975,214059
2000,California,5,FALSE,FALSE,LIB,Cullene Lang,FALSE,2919,214059
2000,California,5,FALSE,FALSE,REP,Kenneth J. Payne,FALSE,55945,214059
2000,California,6,FALSE,FALSE,natural law,Alan Barreca,FALSE,2894,283118
2000,California,6,FALSE,FALSE,LIB,Richard O. Barton,FALSE,4691,283118
2000,California,6,FALSE,FALSE,GRN,"Justin \\""Justo\""\"" Moscoso""",FALSE,13248,283118
2000,California,6,FALSE,FALSE,REP,Ken McAuliffe,FALSE,80169,283118
2000,California,6,FALSE,FALSE,DEM,Lynn C. Woolsey,FALSE,182116,283118
2000,California,7,FALSE,FALSE,natural law,Martin Sproul,FALSE,4943,208789
2000,California,7,FALSE,FALSE,DEM,George Miller,FALSE,159692,208789
2000,California,7,FALSE,FALSE,REP,Christopher A. Hoffman,FALSE,44154,208789
2000,California,8,FALSE,FALSE,natural law,David L. Smithstein,FALSE,2638,215428
2000,California,8,FALSE,FALSE,LIB,Erik Bauman,FALSE,5645,215428
2000,California,8,FALSE,FALSE,DEM,Nancy Pelosi,FALSE,181847,215428
2000,California,8,FALSE,FALSE,REP,Adam Sparks,FALSE,25298,215428
2000,California,9,FALSE,FALSE,LIB,Fred E. Foldvary,FALSE,7051,214650
2000,California,9,FALSE,FALSE,natural law,Ellen Jefferds,FALSE,4214,214650
