State,Population,PopRank,Adherents,AdhRank,Congregations,ConRank,PctReligious,Adh% Rank,Congregations Per 10K People,Con Per 10K Rank
Alabama,4779736,23,3007553,16,10514,11,62.9,3,22,6
Alaska,710231,47,240833,49,1246,45,33.9,48,18,12
Arizona,6392017,16,2379928,23,4673,30,37.2,43,7,44
Arkansas,2915918,32,1614357,32,6697,20,55.4,13,23,2
California,37253956,1,16765751,1,23558,2,45,31,6,50
Colorado,5029196,22,1902282,28,4188,33,37.8,42,8,41
Connecticut,3574097,29,1830862,29,2597,36,51.2,23,7,46
Delaware,897934,45,374917,46,831,49,41.8,37,9,38
District of Columbia,601723,50,332342,48,609,51,55.2,15,10,34
Florida,18801310,4,7357588,4,15611,4,39.1,40,8,42
Georgia,9687653,9,4924376,8,12292,9,50.8,26,13,24
Hawaii,1360301,40,561980,41,1314,44,41.3,38,10,36
Idaho,1567582,39,801655,38,2427,38,51.1,25,15,19
Illinois,12830632,5,7094832,5,12453,8,55.3,14,10,35
Indiana,6483802,15,2874144,19,9061,14,44.3,33,14,21
Iowa,3046355,30,1642344,31,5107,28,53.9,18,17,15
Kansas,2853118,33,1444455,33,4782,29,50.6,27,17,16
Kentucky,4339367,26,2237714,25,7745,17,51.6,22,18,11
Louisiana,4533372,25,2746897,20,5841,25,60.6,4,13,23
Maine,1328361,41,367043,47,1574,41,27.6,51,12,28
Maryland,5773552,19,2415376,21,5336,27,41.8,36,9,39
Massachusetts,6547629,14,3748058,12,4200,32,57.2,8,6,49
Michigan,9883640,8,4165343,11,9521,13,42.1,35,10,37
Minnesota,5303925,21,2986450,17,5953,24,56.3,9,11,30
Mississippi,2967297,31,1742916,30,6765,19,58.7,6,23,3
Missouri,5988927,18,2950894,18,9001,15,49.3,29,15,20
Montana,989415,44,376976,45,1778,40,38.1,41,18,10
Nebraska,1826341,38,1016529,36,2860,35,55.7,10,16,18
Nevada,2700551,35,927955,37,1392,43,34.4,47,5,51
New Hampshire,1316470,42,462772,43,1025,46,35.2,45,8,43
New Jersey,8791894,11,4809520,9,6114,21,54.7,17,7,47
New Mexico,2059179,36,1031198,35,2447,37,50.1,28,12,27
New York,19378102,3,9923512,3,14110,6,51.2,24,7,45
North Carolina,9535483,10,4566313,10,15737,3,47.9,30,17,17
North Dakota,672591,48,451456,44,1498,42,67.1,2,22,5
Ohio,11536504,7,5071684,7,13606,7,44,34,12,29
Oklahoma,3751351,28,2226379,26,7057,18,59.3,5,19,8
Oregon,3831074,27,1194793,34,4026,34,31.2,50,11,33
Pennsylvania,12702379,6,6838440,6,15359,5,53.8,19,12,26
Rhode Island,1052567,43,576919,40,677,50,54.8,16,6,48
South Carolina,4625364,24,2413443,22,8051,16,52.2,21,17,13
South Dakota,814180,46,476832,42,1819,39,58.6,7,22,4
Tennessee,6346105,17,3522345,14,11542,10,55.5,12,18,9
Texas,25145561,2,13994564,2,27848,1,55.7,11,11,31
Utah,2763885,34,2186403,27,5557,26,79.1,1,20,7
Vermont,625741,49,210391,51,854,48,33.6,49,14,22
Virginia,8001024,12,3586592,13,10088,12,44.8,32,13,25
Washington,6724540,13,2328005,24,6114,22,34.6,46,9,40
West Virginia,1852994,37,658313,39,4413,31,35.5,44,24,1
Wisconsin,5686986,20,3047442,15,6078,23,53.6,20,11,32
Wyoming,563626,51,223074,50,948,47,39.6,39,17,14
